48.00000,1500.00000,10.71328
48.00000,500.00000,12.90512
40.00000,2000.00000,13.77644
40.00000,1500.00000,13.90311
48.00000,2000.00000,14.14901
40.00000,500.00000,14.63196
48.00000,1000.00000,14.85177
48.00000,100.00000,15.05621
32.00000,2000.00000,17.75145
32.00000,1500.00000,17.75358
40.00000,100.00000,17.99440
32.00000,100.00000,18.43145
32.00000,500.00000,18.63810
40.00000,1000.00000,18.70033
32.00000,1000.00000,21.67530
24.00000,2000.00000,23.47022
24.00000,1500.00000,23.93274
24.00000,100.00000,24.04302
24.00000,500.00000,25.24566
24.00000,1000.00000,29.67455
16.00000,100.00000,37.20851
16.00000,500.00000,38.00451
16.00000,1000.00000,38.66379
16.00000,2000.00000,39.04777
16.00000,1500.00000,39.72805
8.00000,500.00000,48.58587
8.00000,2000.00000,49.62579
8.00000,1500.00000,50.08611
8.00000,1000.00000,53.87212
8.00000,100.00000,64.42525
