48.00000,1500.00000,10.71328,78.89939
48.00000,500.00000,12.90512,69.55584
40.00000,2000.00000,13.77644,72.54563
40.00000,1500.00000,13.90311,71.91794
48.00000,2000.00000,14.14901,64.34409
40.00000,500.00000,14.63196,71.22918
48.00000,1000.00000,14.85177,65.40890
48.00000,100.00000,15.05621,69.84910
32.00000,2000.00000,17.75145,69.04568
32.00000,1500.00000,17.75358,69.42008
40.00000,100.00000,17.99440,66.81673
32.00000,100.00000,18.43145,70.36522
32.00000,500.00000,18.63810,70.78747
40.00000,1000.00000,18.70033,60.21681
32.00000,1000.00000,21.67530,61.72685
24.00000,2000.00000,23.47022,69.28486
24.00000,1500.00000,23.93274,68.71883
24.00000,100.00000,24.04302,67.76191
24.00000,500.00000,25.24566,66.26430
24.00000,1000.00000,29.67455,56.04294
16.00000,100.00000,37.20851,67.09712
16.00000,500.00000,38.00451,66.77115
16.00000,1000.00000,38.66379,66.91372
16.00000,2000.00000,39.04777,67.44185
16.00000,1500.00000,39.72805,67.74770
8.00000,500.00000,48.58587,65.84978
8.00000,2000.00000,49.62579,66.48515
8.00000,1500.00000,50.08611,65.35437
8.00000,1000.00000,53.87212,66.93479
8.00000,100.00000,64.42525,71.32228
